"구분","1h","2h","3h","4h","5h","6h","7h","8h","9h","10h","11h","12h","13h","14h","15h","16h","17h","18h","19h","20h","21h","22h","23h","24h","최소","최대","평균"
"20250101","81.99","78.61","78.61","78.61","78.61","78.61","79.74","79.74","77.32","76","71.2","71.2","0","6.85","71.2","71.33","84.92","96.78","96.78","97","97.02","97.63","97.63","97.08","0","97.63","78.68"
"20250102","84.81","80.83","80.83","80.83","80.83","80.83","87.52","97.7","128.32","151.16","157.97","134.12","133.99","133.91","133.78","138.86","133.91","133.99","128.32","115.58","113.77","103.23","102.26","96.87","80.83","157.97","115.76"
"20250103","84.69","81.32","81.06","81.06","81.06","81.06","87.47","115.29","138.49","166.56","155.47","146","134.16","134.04","133.95","133.95","132.19","128.32","128.32","128.32","103.38","102.21","88.96","88.96","81.06","166.56","116.2"
"20250104","97.77","81.76","81.12","81.12","81.12","81.12","97.37","98.47","98.78","119.65","119.65","98.16","0","0","97.98","97.94","97.94","98.78","98.68","98.07","98.78","98.78","97.37","97.69","0","119.65","89.28"
"20250105","86.97","78.2","77.07","77.07","77.07","77.07","77.51","77.51","79.21","80.05","83.22","83.16","83.16","83.59","83.59","88.85","87.71","88.96","88.96","88.96","88.96","88.39","88.39","88.96","77.07","88.96","83.66"
"20250106","77.42","76.17","76.17","75.75","76.17","76.17","78.81","97.66","128.09","136.72","128.4","128.09","127.47","127.47","122.7","126.84","126.84","126.84","128.32","124.77","103.32","102.35","97.52","100.11","75.75","136.72","109.44"
"20250107","96.87","82.03","82.03","82.03","82.03","82.03","87.46","114.52","127.47","156.92","146.26","146.26","132.67","132.67","138.58","136.77","128.39","124.33","125.58","125.58","103.32","102.35","97.74","97.74","82.03","156.92","115.69"
"20250108","85.04","81.97","81.97","81.97","81.97","81.97","83.37","112.78","140.44","161.72","159.39","133.25","133.25","133.13","133.25","160.86","136.76","133.33","133.42","134.61","126.52","116.06","120.82","121","81.97","161.72","122.01"
"20250109","108.07","109.23","101.97","101.97","101.97","106.76","107.55","118.54","144","161.72","147.95","147.07","139.15","143.38","143.63","148.66","144.05","146.14","138.36","138.59","136.6","136.53","134.24","134.24","101.97","161.72","132.78"
"20250110","124.44","112.6","106.2","101.97","101.97","112.52","117.05","138.02","147.83","163.15","147.2","147.33","140.19","140.26","144","140.85","156.37","139.21","139.21","139.21","139.21","132.81","133.06","138.49","101.97","163.15","134.73"
"20250111","114.96","106.45","102.74","102.74","102.74","106.12","106.52","117.4","118.75","136.42","136.41","138.53","136.38","136.38","136.37","134.11","134.11","131.93","132.87","132.87","131.18","116.1","116.56","115.23","102.74","138.53","122.72"
"20250112","111.15","111.8","111.82","97.63","98.55","102.64","103","103.19","111.74","117.03","118.12","118.07","117.91","117.29","117.36","116.96","116.74","118.07","118.12","118.12","116.06","108.64","111.74","107.81","97.63","118.12","112.14"
"20250113","110.94","102.02","101.76","97.74","97.74","97.74","113.34","114.47","138.59","165.24","152.63","156.44","138.26","138.58","138.58","138.58","152.65","138.58","138.57","138.59","138.57","136.77","138.49","114.88","97.74","165.24","131.27"
"20250114","108.13","104.61","101.75","101.79","101.7","101.79","107.34","136.77","146.51","154.09","147.33","146.13","138.8","139.21","139.21","139.21","139.22","139.22","136.79","136.51","136.77","136.77","136.77","114.59","101.7","154.09","130.31"
"20250115","128.59","106.11","102","101.52","101.58","101.97","102.14","131.65","141.81","148.19","142.18","142.18","136.98","137.29","138.86","138.59","156.35","138.73","137.18","137.01","136.24","121.82","118.14","121.32","101.52","156.35","129.35"
"20250116","108.07","106.76","106.34","101.97","106.76","102.05","105.25","136.78","144.48","157.34","156.67","148.76","139.15","139.28","139.28","139.28","139.29","138.58","138.38","138.98","138.57","136.78","114.49","114.7","101.97","157.34","130.51"
"20250117","108.26","115.79","102","101.75","102","106.5","111.06","138.88","142.97","158.68","143.17","145.73","136.23","136.23","138.88","138.88","145.73","145.99","138.57","136.15","133.56","129.2","115.62","114.61","101.75","158.68","129.79"
"20250118","107.96","106.03","102.25","102.47","102.11","102.75","107.33","107.74","117.54","138.53","118.72","118.4","117.24","117.18","117.63","117.18","117.66","117.54","118.45","118.12","116.45","107.63","107.63","107.96","102.11","138.53","112.95"
"20250119","103.36","102.52","102.55","102.14","96.06","84","102.38","103.35","108.18","109.15","109.09","108.99","133.53","106.71","108.94","108.99","109.04","118.06","139.27","119.11","113.44","107.74","108.38","108.4","84","139.27","109.09"
"20250120","117.61","80.3","80.3","80.3","80.3","95.31","101.84","116.05","138.59","153.41","165.68","164.5","138.62","138.62","138.62","138.59","138.62","138.59","136.63","136.56","132.06","138.57","117.41","116.84","80.3","165.68","127.33"
"20250121","107.71","102.01","102.01","101.75","101.93","102.33","113.13","129.58","145.23","166.26","152.35","146.53","136.7","137.42","137.42","137.72","138.58","138.62","136.71","136.72","136.44","131.72","129.07","129.58","101.75","166.26","130.53"
"20250122","110.11","102.03","101.71","101.84","102.03","106.56","107.39","138.88","144.95","156.44","155.89","148.76","138.69","138.77","138.77","145.89","138.77","137.09","136.82","138.98","138.59","121.72","115.48","114.68","101.71","156.44","129.85"
"20250123","108.39","101.62","101.62","83.71","101.44","101.86","106.57","129.7","141.34","151.45","143.52","143.25","136.55","144.22","138.59","136.77","138.88","136.77","136.76","136.77","136.77","118.47","118.47","114.83","83.71","151.45","126.56"
"20250124","118.47","107.85","102.41","101.78","101.95","102.31","108.61","129.7","138.86","156.44","153.54","142.93","137.04","137.04","138.58","137.04","138.87","136.74","139.43","132.84","118.77","108.61","118.47","132.76","101.78","156.44","127.78"
